,Time Stamp,Region,Risk-Score,Risk-Level,Daily New Cases,Rolling Risk-Score,RS Diff,Trend
0,2020-03-16,ALHAMBRA,0.15870532447170066,1,,0.15870532447170066,,
1,2020-03-17,ALHAMBRA,0.17150780215310546,1,-1.0,0.16510656331240306,0.0064012388407024,Neutral
2,2020-03-18,ALHAMBRA,0.19069414973011514,1,0.0,0.17363575878497375,0.008529195472570694,Neutral
3,2020-03-19,ALHAMBRA,0.2008739742859491,1,1.0,0.1804453126602176,0.006809553875243846,Neutral
4,2020-03-20,ALHAMBRA,0.21976508770536546,1,1.0,0.1883092676692472,0.007863955009029588,Neutral
5,2020-03-21,ALHAMBRA,0.2697239990610946,1,0.0,0.20187838956788842,0.013569121898641234,Neutral
6,2020-03-22,ALHAMBRA,0.3725818028440496,1,0.0,0.22626459146448288,0.02438620189659446,Neutral
7,2020-03-23,ALHAMBRA,0.5324290755863141,1,1.0,0.2645351519797118,0.038270560515228896,Neutral
8,2020-03-24,ALHAMBRA,0.6853968195688455,1,1.0,0.3112975594896155,0.046762407509903736,Neutral
9,2020-03-25,ALHAMBRA,0.7788685684913829,1,1.0,0.3580546603897923,0.04675710090017676,Neutral
10,2020-03-26,ALHAMBRA,0.7661557837281925,1,2.0,0.395154762511465,0.037100102121672696,Neutral
11,2020-03-27,ALHAMBRA,0.6711268229342672,1,0.0,0.4181524342133652,0.022997671701900202,Neutral
12,2020-03-28,ALHAMBRA,0.5680319201796701,1,2.0,0.4296816254415425,0.011529191228177305,Neutral
13,2020-03-29,ALHAMBRA,0.507836156448173,1,0.0,0.43526409194201604,0.00558246650047356,Neutral
14,2020-03-30,ALHAMBRA,0.5220988458764879,1,1.0,0.4410530755376475,0.005788983595631458,Neutral
15,2020-03-31,ALHAMBRA,0.5720273727410363,1,2.0,0.4492389691128593,0.008185893575211822,Neutral
16,2020-04-01,ALHAMBRA,0.6093329313744418,1,0.0,0.4586562610105995,0.009417291897740154,Neutral
17,2020-04-02,ALHAMBRA,0.6165498693038254,1,2.0,0.4674281281380009,0.008771867127401412,Neutral
18,2020-04-03,ALHAMBRA,0.5923024109622819,1,2.0,0.4915168551652554,0.02408872702725451,Neutral
19,2020-04-04,ALHAMBRA,0.5887608058587267,1,2.0,0.5146975775933454,0.02318072242809005,Neutral
20,2020-04-05,ALHAMBRA,0.6571162109632848,1,2.0,0.5406099143285216,0.025912336735176122,Neutral
21,2020-04-06,ALHAMBRA,0.8204497327635488,1,1.0,0.5750307897994993,0.03442087547097772,Neutral
22,2020-04-07,ALHAMBRA,1.0442654761933472,2,2.0,0.6208363669377205,0.0458055771382212,Neutral
23,2020-04-08,ALHAMBRA,1.1785527412280987,2,2.0,0.6713268526136652,0.05049048567594472,Neutral
24,2020-04-09,ALHAMBRA,1.0743309054120609,2,1.0,0.7103129138674437,0.03898606125377846,Neutral
25,2020-04-10,ALHAMBRA,0.7213613632033287,1,5.0,0.7208091520683889,0.010496238200945252,Neutral
26,2020-04-11,ALHAMBRA,0.2659271673157408,1,1.0,0.697505282498772,-0.023303869569616942,Neutral
27,2020-04-12,ALHAMBRA,0.0,0,0.0,0.6542348064714729,-0.043270476027299054,Neutral
28,2020-04-13,ALHAMBRA,0.0,0,1.0,0.6116705962643512,-0.042564210207121755,Neutral
29,2020-04-14,ALHAMBRA,0.21358059283739947,1,1.0,0.5862513612589696,-0.02541923500538157,Neutral
30,2020-04-15,ALHAMBRA,0.4752035770277586,1,2.0,0.5810942310838634,-0.005157130175106217,Neutral
31,2020-04-16,ALHAMBRA,0.5708396370530071,1,1.0,0.5845944244507986,0.0035001933669351892,Neutral
32,2020-04-17,ALHAMBRA,0.4630894706077758,1,2.0,0.581316125824759,-0.0032782986260395663,Neutral
33,2020-04-18,ALHAMBRA,0.18869113279416852,1,2.0,0.560019668049933,-0.021296457774826028,Neutral
34,2020-04-19,ALHAMBRA,0.0,0,2.0,0.5261678385291307,-0.033851829520802235,Neutral
35,2020-05-06,ALHAMBRA,18.083382197766017,3,,1.496547412332586,0.9703795738034552,Up
36,2020-05-07,ALHAMBRA,4.767082772077101,3,4.0,1.7284796546167425,0.23193224228415654,Up
37,2020-05-08,ALHAMBRA,0.0,0,4.0,1.6957707209579245,-0.032708933658817996,Neutral
38,2020-05-09,ALHAMBRA,0.0,0,3.0,1.6592642647932976,-0.03650645616462689,Neutral
39,2020-05-10,ALHAMBRA,0.0,0,3.0,1.6136837240842115,-0.045580540709086126,Neutral
40,2020-05-11,ALHAMBRA,0.0,0,4.0,1.5556689754068032,-0.0580147486774083,Neutral
41,2020-05-12,ALHAMBRA,0.0,0,10.0,1.4901938231163532,-0.06547515229044998,Neutral
42,2020-05-13,ALHAMBRA,0.8871644714140108,1,5.0,1.4797956878942393,-0.010398135222113858,Neutral
43,2020-05-14,ALHAMBRA,0.6812733840894362,1,4.0,1.4775685779434675,-0.0022271099507717995,Neutral
44,2020-05-15,ALHAMBRA,0.1898042851193721,1,4.0,1.4733395289325582,-0.004229049010909369,Neutral
45,2020-05-16,ALHAMBRA,0.17318170291349216,1,5.0,1.4829607346499742,0.009621205717416093,Neutral
46,2020-05-17,ALHAMBRA,0.5563167920488211,1,1.0,1.513867223097131,0.03090648844715682,Neutral
47,2020-05-18,ALHAMBRA,1.136873511133214,2,0.0,1.5651612741135652,0.05129405101643414,Neutral
48,2020-05-19,ALHAMBRA,1.6573668078883146,2,4.0,1.630837009161374,0.06567573504780877,Neutral
49,2020-05-20,ALHAMBRA,1.8757595148137396,2,5.0,1.7033325579258591,0.07249554876448516,Neutral
50,2020-05-21,ALHAMBRA,1.758068140123879,2,5.0,1.7752758173434207,0.07194325941756152,Neutral
51,2020-05-22,ALHAMBRA,1.4820932397016142,2,7.0,1.8471314899493896,0.07185567260596892,Neutral
52,2020-05-23,ALHAMBRA,1.3984161779853808,2,2.0,1.9248212776152442,0.07768978766585466,Neutral
53,2020-05-24,ALHAMBRA,1.6384704510909878,2,1.0,1.0112150694666315,-0.9136062081486127,Down
54,2020-05-25,ALHAMBRA,2.098273104540432,3,0.0,0.8629478657145944,-0.14826720375203717,Down
55,2020-05-26,ALHAMBRA,2.5389492343861355,3,9.0,1.0040006009582685,0.14105273524367412,Up
56,2020-05-27,ALHAMBRA,2.8404539034144896,3,4.0,1.1618035955924069,0.15780299463413838,Up
57,2020-05-28,ALHAMBRA,3.0271990549755805,3,5.0,1.3299813208688278,0.16817772527642094,Up
58,2020-05-29,ALHAMBRA,3.0498798070128466,3,4.0,1.499419087925097,0.16943776705626923,Up
