,Time Stamp,Region,Total Cases,Daily New Cases,Risk-Score,Risk-Level,Rank,RS Diff,Trend
53,2020-09-15,HARBOR PINES,19,0.0,0.1220686105073936,1,54,0.006781589472632979,Neutral
54,2020-09-15,SHADOW HILLS,59,1.0,0.28064060708244765,1,55,0.0062295645739919026,Neutral
55,2020-09-15,CARTHAY,202,0.0,0.11007615263210327,1,56,0.006115341812894637,Neutral
56,2020-09-15,WALNUT,253,1.0,0.1614337982034893,1,57,0.005042387992376274,Neutral
57,2020-09-15,CANYON COUNTRY,267,1.0,0.2642711051615895,1,58,0.004725245642694775,Neutral
58,2020-09-15,WESTLAKE,2318,2.0,0.08494671899565823,0,59,0.004719262166425459,Neutral
59,2020-09-15,WESTLAKE VILLAGE,31,0.0,0.08494671899565823,0,59,0.004719262166425459,Neutral
60,2020-09-15,ANGELINO HEIGHTS,74,0.0,0.3796376408986449,1,61,0.004686426619187611,Neutral
61,2020-09-15,WEST HOLLYWOOD,531,2.0,0.9814664791968664,1,62,0.003536280961280891,Neutral
62,2020-09-15,PORTER RANCH,352,1.0,0.395536307391432,1,63,0.0033270142435181116,Neutral
63,2020-09-15,ENCINO,554,3.0,0.8595328912365713,1,64,0.002406593907954946,Neutral
64,2020-09-15,VICTORIA PARK,206,0.0,0.21071495710343988,1,65,0.0020505684693643833,Neutral
65,2020-09-15,VERMONT SQUARE,329,0.0,0.16314206288917898,1,66,0.0018997969241877355,Neutral
66,2020-09-15,SANTA FE SPRINGS,540,5.0,1.4374961662982138,2,67,0.0015886938042104504,Neutral
67,2020-09-15,VALINDA,1405,3.0,0.16911875348829788,1,68,0.0010831853438157957,Neutral
68,2020-09-15,CENTURY CITY,111,0.0,0.15962569781251465,1,69,0.001074475146461376,Neutral
69,2020-09-15,SOUTH PASADENA,265,1.0,0.012806808132231838,0,70,0.0007114893406795497,Neutral
70,2020-09-15,PASADENA,2887,1.0,0.012806808132231838,0,70,0.0007114893406795497,Neutral
71,2020-09-15,MANDEVILLE CANYON,26,0.0,0.0,0,84,0.0,Neutral
72,2020-09-15,BROOKSIDE,3,0.0,0.0,0,84,0.0,Neutral
73,2020-09-15,PARK LA BREA,101,2.0,0.0,0,84,0.0,Neutral
